Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 Park View, Nguyễn Đức Cảnh,Tân Phú, Quận 7,57.00,2.35,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,68.00,5.2,2.00,
 Wilton Tower,,25, Bình Thạnh,63.00,3.12,2.00,2
 Saigon Asiana, Nguyễn Văn Luông,12, Quận 6,60.00,1.6,2.00,2
Vision Bình Tân,,Tân Tạo A, Bình Tân,61.00,1.6,2.00,2
 Vision Bình Tân,,Tân Tạo A, Bình Tân,62.00,2.35,2.00,2
The PegaSuite 2,,6, Quận 8,82.00,2.5,2.00,1
 Satra Citiland Plaza,,4, Phú Nhuận,73.00,2.499,2.00,2
 Thái An Apartment, Nguyễn Văn Quá,Đông Hưng Thuận, Quận 12,75.00,4,2.00,2
 Xi Grand Court,,14, Quận 10,72.00,4.9,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,135.00,8,3.00,2
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,84.00,3.4,2.00,2
 Hà Đô Nguyễn Văn Công, Nguyễn Văn Công,3, Gò Vấp,51.00,2.2,2.00,2
 An Gia Riverside, Đào Trí,Phú Thuận, Quận 7,60.00,2.6,1.00,1
 The Pegasuite,,6, Quận 8,69.00,2.65,2.00,1
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,80.88,3.4,2.00,2
Riva Park, Nguyễn Tất Thành,18, Quận 4,50.00,6.3,1.00,2
 The Metropole,,An Khánh, Quận 2,49.00,1.3,1.00,1
 Vision Bình Tân,,Tân Tạo A, Bình Tân,70.00,2.6,2.00,1
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,83.00,3.1,3.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,52.00,1.85,1.00,2
The PegaSuite 2,,6, Quận 8,86.00,5.8,2.00,1
 The Everrich Infinity, An Dương Vương,4, Quận 5,84.00,3.2,2.00,2
 Him Lam Chợ Lớn,,, Quận 6,148.00,10,4.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,114.00,5.1,3.00,4
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,68.00,4.2,2.00,2
 Wilton Tower, D1,25, Bình Thạnh,75.00,4.6,2.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,76.00,3.15,2.00,2
 Him Lam Riverside, Hoàng Trọng Mậu,Tân Hưng, Quận 7,82.00,5.8,2.00,2
 Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,109.00,8,3.00,2
 The Prince Residence, Nguyễn Văn Trỗi,12, Phú Nhuận,116.00,5.8,3.00,2
 The Flemington, Lê Đại Hành,15, Quận 11,74.00,3.65,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,87.00,4.7,3.00,2
 The Flemington, Lê Đại Hành,15, Quận 11,50.00,3.1,1.00,2
 ICON 56, Bến Vân Đồn,12, Quận 4,44.00,1.039,2.00,1
 Thái An Apartment, Nguyễn Văn Quá,Đông Hưng Thuận, Quận 12,106.00,3.5,3.00,1
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,69.00,2.65,2.00,3
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,69.00,2.65,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,73.00,2.7,2.00,2
 Jamona City, Đào Trí,Phú Thuận, Quận 7,69.00,4.06,2.00,2
 Golden Mansion, Phổ Quang,9, Phú Nhuận,139.00,6.5,3.00,2
 Sky Center, Phổ Quang,2, Tân Bình,90.00,2.7,2.00,2
 The Landmark 81, Điện Biên Phủ,22, Bình Thạnh,65.00,3.55,2.00,2
Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,69.00,2.95,2.00,2
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,100.00,10.5,3.00,2
 Thủ Thiêm Lakeview,,, Quận 2,99.00,7.5,3.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,90.00,4,2.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,139.00,6.7,3.00,2
 Sky Center, Phổ Quang,2, Tân Bình,63.00,2.7,2.00,3
 An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,80.00,3.9,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,50.00,1.6,1.00,2
Jamona City, Đào Trí,Phú Thuận, Quận 7,98.00,5.5,3.00,1
 Sky Center, Phổ Quang,2, Tân Bình,114.00,5.1,3.00,2
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,80.00,4.5,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,73.00,2.19,2.00,1
 Jamona City, Đào Trí,Phú Thuận, Quận 7,80.00,4.5,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,73.00,2.19,2.00,1
 Jamona City, Đào Trí,Phú Thuận, Quận 7,50.00,2.1,1.00,2
An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,93.00,8.93,3.00,1
De La Sol, Tôn Thất Thuyết,1, Quận 4,60.00,1.7,2.00,2
 Jamona City, Đào Trí,Phú Thuận, Quận 7,204.00,27,4.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,58.00,2.9,2.00,2
 The Eastern, Liên Phường,Phú Hữu, Quận 9,50.00,3.6,1.00,2
Kingdom 101, Tô Hiến Thành,14, Quận 10,110.00,7.8,3.00,1
 Xi Grand Court,,14, Quận 10,68.00,1.8,2.00,3
Depot Metro Tower, Lê Văn Chí,Linh Trung, Thủ Đức,97.00,2.5,3.00,2
 The Eastern, Liên Phường,Phú Hữu, Quận 9,89.00,7.7,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,40.00,1.7,1.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,61.00,2.55,2.00,1
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,53.00,1.9,2.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,70.00,4.3,2.00,1
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,65.00,1.95,2.00,2
 Sky 9, Liên Phường,Phú Hữu, Quận 9,90.00,4.7,2.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,112.00,5.35,3.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,90.00,4.7,2.00,3
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,112.00,5.35,3.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,63.00,1.9,2.00,3
Topaz Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,33.00,2.5,1.00,2
The Everrich Infinity, An Dương Vương,4, Quận 5,81.00,5.65,2.00,1
 Lumiere Riverside, Xa Lộ Hà Nội,An Phú, Quận 2,70.00,4,2.00,3
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,56.00,1.8,2.00,2
 Sài Gòn Gateway, Xa Lộ Hà Nội,Hiệp Phú, Quận 9,72.00,2.65,2.00,1
Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,61.00,4,2.00,
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,125.00,12.5,3.00,2
Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,84.00,3.1,3.00,2
 An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,54.00,1.99,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,66.00,2.45,2.00,1
The Art Gia Hòa, Đỗ Xuân Hợp,Phước Long B, Quận 9,62.00,2.4,2.00,2
 An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,82.00,3.1,2.00,1
 Citizen Trung Sơn, 9A, Bình Hưng, Bình Chánh,79.00,3.5,2.00,2
 The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,53.00,1.85,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,90.00,4.7,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,112.00,5.35,3.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,82.00,3.1,2.00,3
 Citizen Trung Sơn, 9A, Bình Hưng, Bình Chánh,79.00,3.5,2.00,2
 The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,53.00,1.85,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,70.00,2.7,2.00,1
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,63.00,1.8,2.00,2
 Topaz Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,53.00,1.9,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,125.00,12,3.00,1
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,53.00,2.4,1.00,2
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,68.00,3,2.00,2
 Asiana Capella, Trần Văn Kiểu,10, Quận 6,93.00,6,3.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,65.00,4.3,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,79.00,6.2,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,80.00,3.2,2.00,2
Lucky Palace, Phan Văn Khỏe,2, Quận 6,115.00,5,3.00,2
Lucky Palace, Phan Văn Khỏe,2, Quận 6,80.00,2.8,2.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,50.00,1.89,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,81.00,3.8,2.00,1
 The Gold View, Bến Vân Đồn,1, Quận 4,50.00,1.89,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,81.00,3.8,2.00,1
 The Gold View, Bến Vân Đồn,1, Quận 4,422.00,59,4.00,2
 Thảo Điền Pearl,,, Quận 2,65.00,1.9,2.00,3
 Sky 9, Liên Phường,Phú Hữu, Quận 9,51.00,2.05,2.00,2
 Chung cư Phúc Yên, Phan Huy Ích,15, Tân Bình,65.00,2.25,2.00,2
 Chung cư Phúc Yên, Phan Huy Ích,15, Tân Bình,96.00,4.5,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,85.00,7.2,2.00,
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,60.00,2.3,2.00,2
 Bàu Cát II, Ni Sư Huỳnh Liên,10, Tân Bình,70.00,2.7,2.00,2
 Bàu Cát II, Ni Sư Huỳnh Liên,10, Tân Bình,74.00,2.05,3.00,2
 Sky 9, Liên Phường,Phú Hữu, Quận 9,73.00,4.8,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,80.00,2.9,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,75.00,3.9,2.00,1
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,56.00,2.1,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,67.00,3.5,2.00,1
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,84.00,4,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,56.00,1.8,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,68.00,2.5,2.00,1
Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,65.00,2.6,2.00,2
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,50.00,1.89,2.00,1
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,84.00,4,2.00,1
 Celadon City, N1,Sơn Kỳ, Tân Phú,56.00,1.8,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,68.00,2.5,2.00,1
Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,65.00,2.6,2.00,2
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,57.00,3.9,2.00,1
River Gate, Bến Vân Đồn,6, Quận 4,66.00,2.45,2.00,1
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,89.00,3.15,3.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,78.00,7.7,2.00,2
 Vinhomes Golden River Ba Son,,Bến Nghé, Quận 1,70.00,1.9,2.00,2
 Saigonhomes, Hương lộ 2,Bình Trị Đông A, Bình Tân,82.00,4.195,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,53.00,1.9,1.00,2
Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,138.00,6.39,3.00,1
Cantavil Hoàn Cầu, Điện Biên Phủ,22, Bình Thạnh,70.00,4.3,2.00,2
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,72.00,2.6,2.00,2
 Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,52.00,2,1.00,2
 Moonlight Residences, Đặng Văn Bi,Bình Thọ, Thủ Đức,69.00,2.6,2.00,1
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,52.00,4.2,1.00,
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,217.00,16.5,4.00,
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,98.00,5.2,3.00,3
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,67.00,3.5,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,84.00,4,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,56.00,1.8,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,141.00,4.8,3.00,1
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,80.00,5.65,2.00,2
 Midtown Phú Mỹ Hưng, Nguyễn Lương Bằng,Tân Phú, Quận 7,83.00,6,2.00,
 The Peak, Nguyễn Lương Bằng,Tân Phú, Quận 7,59.83,5.74,1.00,
 De La Sol, Tôn Thất Thuyết,1, Quận 4,82.00,5.95,2.00,1
 The Peak, Nguyễn Lương Bằng,Tân Phú, Quận 7,140.00,6.5,3.00,
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,139.00,5.8,3.00,2
 Sky Center, Phổ Quang,2, Tân Bình,74.00,3.8,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,255.00,29,4.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,86.00,6.1,2.00,5
 The Everrich Infinity, An Dương Vương,4, Quận 5,76.00,4,2.00,2
 Sunrise City View, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,102.00,12,3.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,135.00,8.5,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,113.00,11.4,3.00,3
Sunwah Pearl, Nguyễn Hữu Cảnh,"22, Bình Thạnh",,69.00,2.7,2.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,355.91,41,5.00,2
De La Sol, Tôn Thất Thuyết,1, Quận 4,158.00,14.5,4.00,6
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,55.00,1,2.00,3
 HQC Plaza, Nguyễn Văn Linh, An Phú Tây, Bình Chánh,65.00,3.5,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,86.00,3.1,2.00,1
 Him Lam Chợ Lớn,,, Quận 6,70.00,2.5,2.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,88.00,4,3.00,2
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,75.00,4.75,2.00,2
 Masteri Millennium, Bến Vân Đồn,"6, Quận 4",,65.00,3.5,2.00,2
 The Tresor, Bến Vân Đồn,12, Quận 4,106.00,4.5,2.00,1
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,75.00,1.8,2.00,2
 Orchid Park, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,140.00,5.1,3.00,2
Central Garden, Võ Văn Kiệt,Cô Giang, Quận 1,62.80,3,2.00,3
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,125.00,16.7,3.00,2
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,56.00,1.75,1.00,2
 Căn hộ Ricca Quận 9, Gò Cát,Phú Hữu, Quận 9,97.00,10.5,2.00,1
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,56.00,2.25,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,104.00,11.5,2.00,1
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,83.00,5.1,2.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,56.00,3.6,1.00,2
 Ehome S, Đỗ Xuân Hợp,Phú Hữu, Quận 9,56.00,1.68,2.00,1
 Căn hộ Ricca Quận 9, Gò Cát,Phú Hữu, Quận 9,64.00,1.3,2.00,1
HQC Hóc Môn, Nguyễn Thị Sóc, Xuân Thới Đông, Hóc Môn,54.00,3.5,1.00,2
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,62.00,1.9,2.00,1
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,151.00,6.4,2.00,2
 Green River quận 8, Phạm Thế Hiển,6, Quận 8,92.00,5.1,3.00,3
ICON 56, Bến Vân Đồn,12, Quận 4,75.00,2.8,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,92.00,5.5,3.00,2
 ICON 56, Bến Vân Đồn,12, Quận 4,98.00,4.5,3.00,2
 Conic Riverside,,7, Quận 8,82.00,3.6,2.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,145.00,5.782,3.00,2
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,55.00,1.38,2.00,3
 Sài Gòn Intela, Nguyễn Văn Linh, Phong Phú, Bình Chánh,65.00,3.2,2.00,2
 Asiana Capella, Trần Văn Kiểu,10, Quận 6,75.00,1.64,2.00,2
 Flora Novia,,, Thành phố Thủ Đức,75.00,1.64,2.00,2
 Flora Novia,,, Thành phố Thủ Đức,90.00,5.2,3.00,2
 ICON 56, Bến Vân Đồn,12, Quận 4,57.00,3.5,2.00,2
The Tresor, Bến Vân Đồn,12, Quận 4,70.00,3.2,2.00,1
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,30.00,1.6,1.00,2
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,75.00,3.1,2.00,1
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,182.00,21,3.00,2
 Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,72.00,4.9,2.00,3
 Park Legend, Hoàng Văn Thụ,, Tân Bình,48.00,1.8,1.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,77.00,3.3,2.00,
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,81.00,6.2,2.00,2
 One Verandah Mapletree, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,85.00,6.1,2.00,2
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,51.00,3.2,1.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,88.00,6.45,3.00,1
 Park Legend, Hoàng Văn Thụ,, Tân Bình,71.00,3.35,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,85.00,5.52,2.00,2
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,68.00,2.75,2.00,2
 Chung cư Bộ Công An,3,Bình An, Quận 2,71.00,3.55,2.00,2
 Saigon Asiana, Nguyễn Văn Luông,12, Quận 6,141.00,6.7,3.00,2
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,55.00,2.25,2.00,3
 Plaza Nguyên Hồng, Nguyên Hồng,"1, Gò Vấp",,92.00,4.8,3.00,1
 Saigon Asiana, Nguyễn Văn Luông,12, Quận 6,164.00,8.1,4.00,2
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,86.00,4.85,3.00,3
 Opal Garden,20,Hiệp Bình Chánh, Thủ Đức,106.00,4.25,2.00,2
 An Khang,19,An Phú, Quận 2,61.00,4.25,2.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,82.00,5.9,2.00,2
 The Everrich Infinity, An Dương Vương,"4, Quận 5",,97.00,4.3,3.00,2
 Cantavil An Phú, Xa Lộ Hà Nội,"An Phú, Quận 2",,51.00,3.1,1.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,87.00,7.2,2.00,1
 Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,97.00,4.1,2.00,2
 Centana Thủ Thiêm, Mai Chí Thọ,An Phú, Quận 2,80.00,4.8,2.00,1
 Glory Heights - Vinhomes Grand Park, Nguyễn Xiển,Long Bình, Quận 9,239.00,30,5.00,2
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,86.00,4.85,3.00,4
 Opal Garden,20,Hiệp Bình Chánh, Thủ Đức,66.00,1.85,2.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,46.32,1.65,2.00,1
Đường Ba Vân, Ba Vân,14, Tân Bình,56.00,3.8,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,70.00,1.85,2.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,46.32,1.65,2.00,1
Đường Ba Vân, Ba Vân,14, Tân Bình,56.00,3.8,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,70.00,2.63,2.00,2
 The Peak Garden, Nguyễn Lương Bằng,Phú Mỹ, Quận 7,66.00,1.8,2.00,2
 Ehome 2, Đỗ Xuân Hợp,Phước Long B, Quận 9,239.00,27,5.00,2
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,72.50,4.25,2.00,4
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,57.00,2.12,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,112.00,7.5,3.00,
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,75.00,4.5,2.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,70.00,2,2.00,2
 Vinhomes Grand Park,,, Quận 9,55.00,3.3,2.00,1
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,85.00,5.22,3.00,1
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,112.00,7.5,3.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,75.00,4.9,2.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,50.00,1.92,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,145.00,9.3,3.00,2
 Xi Riverview Palace, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,95.00,5.95,3.00,4
 River Gate, Bến Vân Đồn,6, Quận 4,147.00,17,3.00,2
 D'Edge Thảo Điền, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,279.00,13.6,5.00,3
 Him Lam Riverside, D1,Tân Hưng, Quận 7,109.00,15,3.00,5
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,279.00,13.6,5.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,65.00,4,2.00,2
 Masteri Thảo Điền,,, Quận 2,95.00,4.46,3.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,85.00,1.75,2.00,2
 The Era Town,,Phú Mỹ, Quận 7,65.00,4.2,2.00,3
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,100.00,5,3.00,2
 Happy Valley, Nguyễn Văn Linh,Tân Phong, Quận 7,52.00,2.5,1.00,2
 Screc Tower, Trường Sa,12, Quận 3,67.00,1.56,2.00,1
 The Era Town, Nguyễn Lương Bằng,Phú Mỹ, Quận 7,76.00,2.6,2.00,2
Saigonres Plaza,,26, Bình Thạnh,72.00,2.65,2.00,2
 Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,75.00,2.6,3.00,2
 Imperial Place, Kinh Dương Vương,An Lạc, Bình Tân,162.00,8.3,3.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,78.00,3.1,2.00,3
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,57.00,2.5,2.00,2
 Q7 Boulevard, Nguyễn Lương Bằng,Tân Phong, Quận 7,182.00,5.8,5.00,
 Citizen Trung Sơn, 9A, Bình Hưng, Bình Chánh,70.00,2.5,2.00,3
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,86.00,3.38,3.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,70.00,2.5,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,86.00,3.38,3.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,86.00,6,2.00,2
 The Peak, Tân Phú,Tân Phú, Quận 7,63.00,2.65,2.00,
 MT Eastmark City, Trường Lưu,Long Trường, Quận 9,102.00,4,3.00,2
 Hà Đô Nguyễn Văn Công, Nguyễn Văn Công,3, Gò Vấp,68.00,2.72,2.00,2
 Sky Garden 3, Phạm Văn Nghị,Tân Phong, Quận 7,50.00,1.8,2.00,2
 Sky 9, Liên Phường,Phú Hữu, Quận 9,50.00,2.5,1.00,1
Diamond Lotus, Lê Quang Kim,8, Quận 8,55.00,1.52,2.00,1
 Sài Gòn Intela, Nguyễn Văn Linh, Phong Phú, Bình Chánh,145.00,4.42,3.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,77.00,4.4,2.00,3
 Khu phức hợp 152 Điện Biên Phủ, Điện Biên Phủ,25, Bình Thạnh,66.50,3.85,2.00,2
 The Origami, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,74.00,4.2,2.00,2
 Khu phức hợp 152 Điện Biên Phủ, Điện Biên Phủ,25, Bình Thạnh,68.00,2.6,2.00,2
 An Gia Skyline,,, Quận 7,101.00,5.1,2.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,89.00,6.2,2.00,2
 Xi Grand Court,,14, Quận 10,90.00,13,2.00,2
 Zeit River Thủ Thiêm ,,An Khánh, Quận 2,80.00,30,2.00,2
 Grand Marina Saigon,,Bến Nghé, Quận 1,53.00,3.45,1.00,2
 Xi Grand Court,,14, Quận 10,58.00,2.5,2.00,1
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,90.00,13,2.00,1
 Zeit River Thủ Thiêm ,,An Khánh, Quận 2,80.00,30,2.00,2
 Grand Marina Saigon,,Bến Nghé, Quận 1,53.00,3.45,1.00,2
 Xi Grand Court,,14, Quận 10,58.00,2.5,2.00,1
